sequence,cycle_started_us,command_sent_us,response_completed_us,full_loop_us,pre_send_us,transport_us,setpoint_milli_c,observed_milli_c,measured_milli_c,command_actuator_permille,status_actuator_permille,error_milli_c
602,60161511,60161527,60172297,10786,16,10770,65000,51853,51865,500,500,13135
603,60261560,60261576,60272293,10733,16,10717,65000,51865,51878,500,500,13122
604,60361608,60361624,60372312,10704,16,10688,65000,51878,51890,500,500,13110
605,60461656,60461672,60472304,10648,16,10632,65000,51890,51903,500,500,13097
606,60561703,60561719,60572290,10587,16,10571,65000,51903,51915,500,500,13085
607,60661751,60661767,60672308,10557,16,10541,65000,51915,51928,500,500,13072
608,60761799,60761815,60772297,10498,16,10482,65000,51928,51940,500,500,13060
609,60861846,60861862,60872301,10455,16,10439,65000,51940,51952,500,500,13048
610,60961895,60961911,60972296,10401,16,10385,65000,51952,51964,500,500,13036
611,61061942,61061958,61072308,10366,16,10350,65000,51964,51976,500,500,13024
612,61161991,61162007,61172297,10306,16,10290,65000,51976,51989,500,500,13011
613,61262038,61262054,61272290,10252,16,10236,65000,51989,52001,500,500,12999
614,61362086,61362102,61372302,10216,16,10200,65000,52001,52013,500,500,12987
615,61462134,61462150,61472306,10172,16,10156,65000,52013,52024,500,500,12976
616,61562181,61562197,61572292,10111,16,10095,65000,52024,52036,500,500,12964
617,61662229,61662245,61672307,10078,16,10062,65000,52036,52048,500,500,12952
618,61762276,61762292,61772301,10025,16,10009,65000,52048,52060,500,500,12940
